0.000000000000000000e+00,2.920000000000000000e+02,2.300000000000000000e+02
0.000000000000000000e+00,2.920000000000000000e+02,2.300000000000000000e+02
0.000000000000000000e+00,2.920000000000000000e+02,2.300000000000000000e+02
2.169030045719360505e-02,2.880000000000000000e+02,2.320000000000000000e+02
3.624059633959750282e-02,2.850000000000000000e+02,2.320000000000000000e+02
6.534118810440529834e-02,2.790000000000000000e+02,2.320000000000000000e+02
8.959168124174514414e-02,2.740000000000000000e+02,2.320000000000000000e+02
1.380926675164247941e-01,2.640000000000000000e+02,2.320000000000000000e+02
1.865936537911044579e-01,2.540000000000000000e+02,2.320000000000000000e+02
2.455976501899303777e-01,2.420000000000000000e+02,2.340000000000000000e+02
2.843984392096741143e-01,2.340000000000000000e+02,2.340000000000000000e+02
3.481915266756122618e-01,2.210000000000000000e+02,2.360000000000000000e+02
4.160929074601637523e-01,2.070000000000000000e+02,2.360000000000000000e+02
4.600124184898379265e-01,1.980000000000000000e+02,2.370000000000000000e+02
5.286031710679611750e-01,1.840000000000000000e+02,2.390000000000000000e+02
5.773460590241834556e-01,1.740000000000000000e+02,2.400000000000000000e+02
6.452474398087348906e-01,1.600000000000000000e+02,2.400000000000000000e+02
7.138381923868583057e-01,1.460000000000000000e+02,2.380000000000000000e+02
7.768894745439418603e-01,1.340000000000000000e+02,2.330000000000000000e+02
8.183287353821875332e-01,1.260000000000000000e+02,2.300000000000000000e+02
8.668297216568672248e-01,1.180000000000000000e+02,2.240000000000000000e+02
9.252326429959933929e-01,1.100000000000000000e+02,2.150000000000000000e+02
9.605418939778087584e-01,1.080000000000000000e+02,2.080000000000000000e+02
1.023593176134892424e+00,1.030000000000000000e+02,1.960000000000000000e+02
1.081996097474018592e+00,1.020000000000000000e+02,1.840000000000000000e+02
1.126711797392214720e+00,1.000000000000000000e+02,1.750000000000000000e+02
1.189949346667533048e+00,1.010000000000000000e+02,1.620000000000000000e+02
1.259392190954861768e+00,1.040000000000000000e+02,1.480000000000000000e+02
1.299387128826289040e+00,1.060000000000000000e+02,1.400000000000000000e+02
1.370997976885534486e+00,1.130000000000000000e+02,1.270000000000000000e+02
1.438377700410940596e+00,1.200000000000000000e+02,1.150000000000000000e+02
1.484133439351087214e+00,1.250000000000000000e+02,1.070000000000000000e+02
1.556235338978301019e+00,1.360000000000000000e+02,9.700000000000000000e+01
1.621486742503483347e+00,1.460000000000000000e+02,8.800000000000000000e+01
1.669987728778163039e+00,1.540000000000000000e+02,8.200000000000000000e+01
1.735058630149743708e+00,1.660000000000000000e+02,7.600000000000000000e+01
1.798109912306827374e+00,1.780000000000000000e+02,7.100000000000000000e+01
1.868728414270457883e+00,1.920000000000000000e+02,6.700000000000000000e+01
1.919364930539670056e+00,2.020000000000000000e+02,6.400000000000000000e+01
1.987955683117793582e+00,2.160000000000000000e+02,6.200000000000000000e+01
2.067945558860647903e+00,2.320000000000000000e+02,5.800000000000000000e+01
2.126949555259473712e+00,2.440000000000000000e+02,5.600000000000000000e+01
2.367750968785331089e+00,2.930000000000000000e+02,4.800000000000000000e+01
2.465236744697775428e+00,3.130000000000000000e+02,4.600000000000000000e+01
2.567204229023444917e+00,3.340000000000000000e+02,4.500000000000000000e+01
2.640599539387405770e+00,3.490000000000000000e+02,4.300000000000000000e+01
2.752257194964478959e+00,3.720000000000000000e+02,4.200000000000000000e+01
2.858959364768773881e+00,3.940000000000000000e+02,4.200000000000000000e+01
2.931710844180793529e+00,4.090000000000000000e+02,4.200000000000000000e+01
3.048113211240024878e+00,4.330000000000000000e+02,4.200000000000000000e+01
3.159665479671788013e+00,4.560000000000000000e+02,4.200000000000000000e+01
3.276168846634670562e+00,4.800000000000000000e+02,4.300000000000000000e+01
3.353921842531387476e+00,4.960000000000000000e+02,4.400000000000000000e+01
3.461064023150083990e+00,5.180000000000000000e+02,4.600000000000000000e+01
3.568206203768779616e+00,5.400000000000000000e+02,4.800000000000000000e+01
3.636796956346902920e+00,5.540000000000000000e+02,5.000000000000000000e+01
